,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
239,2.000186748138801,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
240,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
241,2.000186748138801,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
242,"(20, 1, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
243,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
244,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
245,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
246,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
247,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
248,"(20, 0, 0)","(16, 0, 0)","(12, 1, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,
249,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
250,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
251,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
252,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
253,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
254,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
255,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
256,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
257,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
258,"(12, 2, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
259,2.0000560251592905,1.4657600765914585,0.0,1.3999882521787903,,,,,,,,,,,
