,0,1,2,3,4,5,6,7,8,9,10,11,12,13
235,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
236,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
237,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
238,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
239,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
240,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
241,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
242,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
243,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
244,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
245,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
246,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
247,1.6975210780900234,0.0,0.0,0.0,,,,,,,,,,
248,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
249,1.780319904017517,0.0,0.0,0.0,,,,,,,,,,
250,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
251,1.8450016903663922,0.0,0.0,0.0,,,,,,,,,,
252,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
253,1.8450016903663922,0.0,0.0,0.0,,,,,,,,,,
254,"(0, 1, 0)","(1, 2, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
255,1.8450016903663922,0.0,0.0,0.0,,,,,,,,,,
256,"(23, 0, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
